species,species_refID,datetime,temp,humid,lengthAudio,log_maxAmp,log_rangeAmp,log_iqrAmp,log_crestFactor,log_power,log_rms,sqrt_domfreq,bioacousticIndex,bioacousticIndex_2,bioacousticIndex_3,bioacousticIndex_4,log_amplitudeIndex,spectralEntropy,temporalEntropy,acousticEntropy,harmonics.1,harmonics.2,harmonics.3,harmonics.4,harmonics.5,harmonics.6,harmonics.7,harmonics.8,harmonics.9,harmonics.10,log_gamAmp,log_maxAmp_g,log_rangeAmp_g,log_iqrAmp_g,log_crestFactor_g,log_power_g,log_rms_g,log_fundFreq,sqrt_domfreq_g,bioacousticIndex_g,bioacousticIndex_g_2,bioacousticIndex_g_3,bioacousticIndex_g_4,log_amplitudeIndex_g,spectralEntropy_g,temporalEntropy_g,acousticEntropy_g,harmonics_g.1,harmonics_g.2,harmonics_g.3,harmonics_g.4,harmonics_g.5,harmonics_g.6,harmonics_g.7,harmonics_g.8,harmonics_g.9,harmonics_g.10
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 16:35,25.9,37.5,317,-8.549070571,-7.993511501,-8.893081785,0.741418842,-18.58097883,-9.290489413,0.35630482,3.968324737,3.879959144,0.998052678,6.417311409,-20.94384264,0.792973167,0.130840887,0.103753312,0.021484375,0.126953125,0.227539063,0.446289063,0.333984375,0.48046875,0.708007813,1.916992188,1.184570313,1.255859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 16:37,25.9,37,220,-9.344202536,-9.344155531,-9.632873605,0.622517994,-19.93344106,-9.96672053,0.363092189,3.340301358,3.130190295,0.625370361,4.924809349,-19.10274856,0.865966425,0.1910372,0.165431801,0.131835938,0.069335938,0.17578125,0.251953125,0.384765625,0.7578125,0.430664063,0.508789063,1.124023438,1.075195313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 16:44,26.6,36,1124,-8.541728148,-8.06148317,-9.86917539,1.230950634,-19.54535757,-9.772678783,0.333658695,3.362175746,3.290586951,0.367022274,6.603206416,-19.0379188,0.857726658,0.29881497,0.256301565,0.005859375,0.041992188,0.111328125,0.084960938,0.235351563,0.096679688,0.135742188,0.215820313,0.350585938,0.205078125,-3.647820365,9.10E-05,-8.619877677,-10.46538477,1.105340075,-20.81933768,-10.40966884,-2.1690537,0.335118915,2.617563769,2.562590696,0.556433918,6.678922653,-23.2552328,0.911841582,0.263923322,0.24065626,0.112304688,0.096679688,0.237304688,0.084960938,0.216796875,0.3515625,0.205078125,0.19140625,0.17578125,0.368164063
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 16:51,27.3,35.5,453,-7.704644271,-7.197514057,-8.373659217,0.914719242,-17.23872703,-8.619363513,0.354931772,4.683782285,3.281038584,0.674912586,4.823895451,-19.71559202,0.761737912,0.159857243,0.121769322,0.014648438,0.041992188,0.125976563,0.073242188,0.358398438,0.159179688,0.23828125,0.091796875,0.318359375,0.479492188,-2.551810171,0.00014892,-8.338768891,-10.41334074,1.301292622,-20.22679377,-10.11339688,-2.094945728,0.357672598,3.067612051,2.517579549,0.799813037,5.909984855,-23.70156864,0.893332094,0.10973566,0.098030387,0.127929688,0.364257813,0.245117188,0.162109375,0.28125,0.313476563,0.189453125,0.60546875,0.4765625,0.702148438
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 16:56,27.3,35,1013,-8.14213129,-7.683217668,-9.050776087,1.083489324,-18.45124123,-9.225620614,0.317152861,2.861529839,2.847775543,0.647637071,5.833175934,-19.16097317,0.805125185,0.265256045,0.213564322,0.0078125,0.020507813,0.036132813,0.100585938,0.118164063,0.240234375,0.225585938,0.046875,0.21484375,0.138671875,-3.066594609,6.73E-05,-8.958277166,-10.62334684,1.132130558,-21.47714892,-10.73857446,-2.183238335,0.346579266,2.057851861,2.044091149,0.707219276,5.827592624,-25.89841347,0.923349899,0.23931828,0.22097451,0.120117188,0.102539063,0.239257813,0.225585938,0.138671875,0.333984375,0.212890625,0.323242188,0.0859375,0.567382813
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:14,27.3,34.5,4940,-8.529918826,-7.95715922,-9.546966579,1.255364542,-19.57056674,-9.785283368,0.363092189,2.900556099,2.744504484,0.308394641,5.178785395,-15.85418691,0.863677716,0.721273579,0.622947917,0.008789063,0.131835938,0.017578125,0.095703125,0.001953125,0.11328125,0.245117188,0.209960938,0.106445313,0.227539063,-3.898336362,0.000151125,-8.13671147,-10.05797962,1.31320984,-20.22122165,-10.11061083,-2.154664963,0.363092189,2.447655222,2.290749364,0.782227335,5.212407395,-16.42395737,0.885764761,0.638617654,0.565665014,0.131835938,0.095703125,0.11328125,0.245117188,0.209960938,0.216796875,0.106445313,0.227539063,0.436523438,0.23828125
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:14,27.3,34.5,516,-8.925961972,-8.572906923,-9.360741134,0.951516797,-19.75495754,-9.877478769,0.480071609,3.094363529,3.043443432,0.653025673,5.994189111,-20.12915428,0.846174036,0.20393064,0.172560813,0.01171875,0.23046875,0.104492188,0.05859375,0.123046875,0.139648438,0.204101563,0.170898438,0.576171875,0.075195313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:18,27.3,34.5,4575,-8.473128057,-7.951826116,-9.441441781,1.27111658,-19.48848927,-9.744244637,0.32923918,3.174494485,3.161283336,0.253573632,4.867384542,-16.14019199,0.843412672,0.684732141,0.577511764,0.00390625,0.006835938,0.108398438,0.012695313,0.122070313,0.215820313,0.104492188,0.095703125,0.23046875,0.331054688,-3.794867646,0.000123157,-8.319012735,-10.00185511,1.121952784,-20.24800488,-10.12400244,-2.197224577,0.32923918,2.739552962,2.725756961,0.686383592,4.858452544,-16.90509369,0.873013087,0.706733797,0.616987854,0.108398438,0.122070313,0.215820313,0.104492188,0.22265625,0.095703125,0.23046875,0.205078125,0.331054688,0.338867188
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:41,28,34.5,569,-8.22607511,-7.627656607,-8.490424747,0.781417493,-18.01498521,-9.007492604,0.375,2.849020223,2.845273992,0.654121539,7.959672702,-19.42845488,0.769698913,0.229911728,0.176962807,0.010742188,0.032226563,0.140625,0.051757813,0.26953125,0.096679688,0.161132813,0.532226563,0.659179688,0.8984375,-2.951556528,6.23E-05,-9.004312548,-10.61160665,0.999686819,-21.36601784,-10.68300892,-1.998095902,0.373695648,2.974061186,2.900830056,1.052269032,8.585175317,-25.57858606,0.914640688,0.152710704,0.139675423,0.139648438,0.270507813,0.09765625,0.1640625,0.380859375,0.18359375,0.530273438,0.658203125,0.357421875,0.573242188
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:44,28,34.5,3875,-8.549613171,-7.958718934,-9.420368918,1.137942134,-19.37511061,-9.687555305,0.378886114,2.933438152,2.604186582,0.3866187,5.729616484,-17.31433045,0.852700721,0.664596049,0.56670153,0.01171875,0.018554688,0.143554688,0.106445313,0.014648438,0.123046875,0.231445313,0.249023438,0.356445313,0.267578125,-3.555588852,0.000119831,-8.477525499,-10.22205295,1.337386526,-20.73363538,-10.36681769,-2.063693185,0.378886114,2.345385425,2.014529158,0.62395452,5.733214499,-21.80760622,0.901080319,0.597362819,0.538271879,0.143554688,0.106445313,0.123046875,0.23046875,0.249023438,0.356445313,0.267578125,0.23828125,0.374023438,0.286132813
