,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Name,Label,Data type,Measurement units,Semantic reference,Notes,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,species,Insect species,Text,,http://purl.obolibrary.org/obo/NCBITaxon_species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NCBI Taxon,URL,,http://purl.obolibrary.org/obo/NCIT_C40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,datetime,Time and Date recording started,datetime,,http://purl.allotrope.org/ontologies/result#AFR_0001512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,temp,Air Temperature,number,deg C,http://purl.obolibrary.org/obo/ENVO_09200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,humid,Humidity,number,%,http://purl.obolibrary.org/obo/PATO_0015009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lengthAudio,Audio Length,integer,,,,Number of samples in retained audio recording (after trimming background noise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_maxAmp,Maximum amplitude,number,,,Natural log transform has been applied,Maximum amplitude of sound recording centred at 0. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_rangeAmp,Amplitude range,number,,,Natural log transform has been applied,The difference between the maximum peak and the minimum trough of an audio recording. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_iqrAmp,Amplitude IQR,number,,,Natural log transform has been applied,The difference between recorded volume at the 3rd and 1st quartiles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_crestFactor,Crest factor,number,,,Natural log transform has been applied,The ratio between the peak value relative to the RMS of the wingbeat cycle in the series. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_power,Power,number,,,Natural log transform has been applied,The average squared volume. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_rms,Root Mean Square (RMS),number,,,Natural log transform has been applied,"The average squared volume, downweighted by a square root transformation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sqrt_domfreq,Dominant frequency,number,Hz,,Square root transform has been applied,"The ""loudest"" frequency, i.e. the frequency corresponding to the largest changes in volume such that the frequency exceeds body oscillations of at least 50 Hz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex,Bioacoustics index (1),number,,,,The area under the curve of the frequency spectra between 50-1000 Hz. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_2,Bioacoustics index (2),number,,,,The area under the curve of the frequency spectra between 50-1000 Hz. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
